title,price,link,unit_sold,rating_count,stars
Sochnuhos rw Dhani Bannuhos ( Think and Grow rich in Nepali ) by Napoleon Hill,Rs. 250,https://www.daraz.com.np/products/sochnuhos-rw-dhani-bannuhos-think-and-grow-rich-in-nepali-by-napoleon-hill-i111430954.html,10 sold,2,4
The Love Hypothesis By Ali Hazelwood,Rs. 402,https://www.daraz.com.np/products/the-love-hypothesis-by-ali-hazelwood-i114181497.html,232 sold,61,4
The Leader In You By Dale Carnegie,Rs. 176,https://www.daraz.com.np/products/the-leader-in-you-by-dale-carnegie-i115576897.html,345 sold,69,4
"The Art of Being Alone By Renuka Gavrani : Loneliness Was My Cage, Solitude Is My Home",Rs. 160,https://www.daraz.com.np/products/the-art-of-being-alone-by-renuka-gavrani-loneliness-was-my-cage-solitude-is-my-home-i176903149.html,52 sold,11,4
The Magic By Rhonda Byrne,Rs. 429,https://www.daraz.com.np/products/the-magic-by-rhonda-byrne-i109951575.html,49 sold,11,4
The Art Of War by Sun Tzu,Rs. 200,https://www.daraz.com.np/products/the-art-of-war-by-sun-tzu-i128132700.html,234 sold,37,4
King Of Wrath by Ana Huang,Rs. 489,https://www.daraz.com.np/products/king-of-wrath-by-ana-huang-i123651525.html,200 sold,48,4
Seto Dharti By Amar Neupane,Rs. 610,https://www.daraz.com.np/products/seto-dharti-by-amar-neupane-i129778126.html,N/A,1,5
Thank You for Leaving,Rs. 179,https://www.daraz.com.np/products/thank-you-for-leaving-i187721743.html,26 sold,4,5
"Combo of Share Market (Share mantra, Shareko adharbhut bislesan, Nepalko Share bazaar, Sharebata Karodpati by Rabindra Bhattarai)","Rs. 1,680",https://www.daraz.com.np/products/combo-of-share-market-share-mantra-shareko-adharbhut-bislesan-nepalko-share-bazaar-sharebata-karodpati-by-rabindra-bhattarai-i104132464.html,184 sold,35,4
Twisted Love Book by Ana Huang,Rs. 447,https://www.daraz.com.np/products/twisted-love-book-by-ana-huang-i117324416.html,262 sold,69,4
Sakaratmak Sochko Shakti ( Nepali Translation of The Power of Positive Thinking) by Norman Vincent Peale,Rs. 249,https://www.daraz.com.np/products/sakaratmak-sochko-shakti-nepali-translation-of-the-power-of-positive-thinking-by-norman-vincent-peale-i126858687.html,27 sold,4,5
Complete Solution For Common Entrance Exam(CEE) || 27th Revised & Updated Edition 2081 Nirvana's || Best Selling Book In Nepal For CEE Preparation,"Rs. 2,849",https://www.daraz.com.np/products/complete-solution-for-common-entrance-examcee-27th-revised-updated-edition-2081-nirvanas-best-selling-book-in-nepal-for-cee-preparation-i129025004.html,85 sold,17,4
"Decoding Diplomacy : Essentials of Foreign Policy, Multilateralism, and International Law by Dr. Surendra Thapa",Rs. 990,https://www.daraz.com.np/products/decoding-diplomacy-essentials-of-foreign-policy-multilateralism-and-international-law-by-dr-surendra-thapa-i172739906.html,N/A,1,5
Technical Analysis of the Financial Markets: A Comprehensive Guide to Trading Methods and Applications,Rs. 499,https://www.daraz.com.np/products/technical-analysis-of-the-financial-markets-a-comprehensive-guide-to-trading-methods-and-applications-i151978480.html,61 sold,5,5
Bichar Bigyan By Khaptadbaba,Rs. 220,https://www.daraz.com.np/products/bichar-bigyan-by-khaptadbaba-i106661714.html,60 sold,6,4
As A Man Thinketh By James Allen,Rs. 99,https://www.daraz.com.np/products/as-a-man-thinketh-by-james-allen-i108273347.html,153 sold,22,4
"Zero To One - Peter Thiel : Notes On Startups, or How to Build The Future",Rs. 300,https://www.daraz.com.np/products/zero-to-one-peter-thiel-notes-on-startups-or-how-to-build-the-future-i287780358.html,23 sold,4,4
Eat That Frog (Nepali) By Brain Tracy,Rs. 135,https://www.daraz.com.np/products/eat-that-frog-nepali-by-brain-tracy-i129251829.html,45 sold,6,4
Rich Dad Poor Dad By Robert Kiyosaki : What the Rich Teach Their Kids About Money,Rs. 145,https://www.daraz.com.np/products/rich-dad-poor-dad-by-robert-kiyosaki-what-the-rich-teach-their-kids-about-money-i164945009.html,8 sold,2,5
Basain - Lil Bahadur Kshetri,Rs. 100,https://www.daraz.com.np/products/basain-lil-bahadur-kshetri-i447994.html,29 sold,3,5
Rich Dad Poor Dad Book By Robert Kiyosaki,Rs. 150,https://www.daraz.com.np/products/rich-dad-poor-dad-book-by-robert-kiyosaki-i153936234.html,17 sold,6,4
The Kite Runner by Khaled Hosseini,Rs. 288,https://www.daraz.com.np/products/the-kite-runner-by-khaled-hosseini-i132164179.html,50 sold,5,4
Tapaiko Awachetan Manko Shakti (Tapiko abachetan manko Shakti)- Joseph Murphy ( Translated Book The Power Of Subconcious Mind ),Rs. 280,https://www.daraz.com.np/products/tapaiko-awachetan-manko-shakti-tapiko-abachetan-manko-shakti-joseph-murphy-translated-book-the-power-of-subconcious-mind-i108763080.html,47 sold,8,5
Rahasya - Rhonda Byrne (Nepali Translation Of The Secret),Rs. 276,https://www.daraz.com.np/products/rahasya-rhonda-byrne-nepali-translation-of-the-secret-i129317819.html,66 sold,8,4
Emotional Intelligence By Daniel Goleman,Rs. 400,https://www.daraz.com.np/products/emotional-intelligence-by-daniel-goleman-i164716590.html,13 sold,2,5
Zero To One Peter Thiel,Rs. 399,https://www.daraz.com.np/products/zero-to-one-peter-thiel-i127869460.html,96 sold,17,4
It Starts With Us By Colleen Hoover,Rs. 222,https://www.daraz.com.np/products/it-starts-with-us-by-colleen-hoover-i128312283.html,69 sold,21,4
Influence: The Psychology Of Persuasion By Robert B. Cialdini,Rs. 449,https://www.daraz.com.np/products/influence-the-psychology-of-persuasion-by-robert-b-cialdini-i169696743.html,11 sold,1,5
Chamatkar - Rhonda Byrne (The Magic Nepali Translation),Rs. 320,https://www.daraz.com.np/products/chamatkar-rhonda-byrne-the-magic-nepali-translation-i103348817.html,15 sold,3,4
Phulchowki Books Nathiya By Saraswati Pratikshya,Rs. 499,https://www.daraz.com.np/products/phulchowki-books-nathiya-by-saraswati-pratikshya-i100826174.html,47 sold,8,4
Who Moved My Cheese? by Spencer Johnson,Rs. 149,https://www.daraz.com.np/products/who-moved-my-cheese-by-spencer-johnson-i155123665.html,56 sold,9,4
The Power Of Your Subconscious Mind By Joshep Murphy,Rs. 199,https://www.daraz.com.np/products/the-power-of-your-subconscious-mind-by-joshep-murphy-i155638371.html,163 sold,12,4
The Almanack Of Naval Ravikant By Eric Jorgenson,Rs. 259,https://www.daraz.com.np/products/the-almanack-of-naval-ravikant-by-eric-jorgenson-i113600299.html,145 sold,28,4
Mahaguru - Mahesh Shamsher Rana,Rs. 530,https://www.daraz.com.np/products/mahaguru-mahesh-shamsher-rana-i105895053.html,16 sold,3,5
Tapai ko Avachetan Mann ko Shakti - Joseph Murphy (The Power Of Your Subconscious Mind Nepali translation),Rs. 287,https://www.daraz.com.np/products/tapai-ko-avachetan-mann-ko-shakti-joseph-murphy-the-power-of-your-subconscious-mind-nepali-translation-i103668828.html,41 sold,6,4
Trade Like a Stock Market Wizard: How to Achieve Super Performance in Stocks in Any Market,Rs. 582,https://www.daraz.com.np/products/trade-like-a-stock-market-wizard-how-to-achieve-super-performance-in-stocks-in-any-market-i152739606.html,51 sold,8,4
Don't Sweat the Small Stuff... and it's all small stuff by Richard Carlson,Rs. 279,https://www.daraz.com.np/products/dont-sweat-the-small-stuff-and-its-all-small-stuff-by-richard-carlson-i174831789.html,52 sold,5,4
"Chart Patterns & Candlestick Patterns In Stock Market Trading (English, Paperback) By Indrazith Shantharaj",Rs. 560,https://www.daraz.com.np/products/chart-patterns-candlestick-patterns-in-stock-market-trading-english-paperback-by-indrazith-shantharaj-i140331448.html,18 sold,3,5
Seto Dharti(HC) By Amar Neupane,Rs. 592,https://www.daraz.com.np/products/seto-dhartihc-by-amar-neupane-i80804.html,56 sold,6,5
The 7 Habits Of Highly Effective People By Stephen R. Covey,Rs. 402,https://www.daraz.com.np/products/the-7-habits-of-highly-effective-people-by-stephen-r-covey-i128301182.html,44 sold,10,4
Rich Dad And Poor Dad By Robert T Kiyosaki,Rs. 145,https://www.daraz.com.np/products/rich-dad-and-poor-dad-by-robert-t-kiyosaki-i152107125.html,87 sold,12,4
Sochnuhos Rw Dhani Bannuhos - Napolean Hill Translation Of Think & Grow Rich,Rs. 280,https://www.daraz.com.np/products/sochnuhos-rw-dhani-bannuhos-napolean-hill-translation-of-think-grow-rich-i103514740.html,225 sold,38,4
Thank You for Leaving + I Don't Love You Anymore + Warmth,Rs. 560,https://www.daraz.com.np/products/thank-you-for-leaving-i-dont-love-you-anymore-warmth-i216910610.html,N/A,1,5
Sell Like Crazy By Sabri Suby,Rs. 446,https://www.daraz.com.np/products/sell-like-crazy-by-sabri-suby-i117952085.html,140 sold,13,4
The Greatest Salesman In The World - Og Mandino,Rs. 175,https://www.daraz.com.np/products/the-greatest-salesman-in-the-world-og-mandino-i104782867.html,78 sold,15,4
How To Develop Self-Confidence & Influence People By Public Speaking By Dale Carnegie,Rs. 199,https://www.daraz.com.np/products/how-to-develop-self-confidence-influence-people-by-public-speaking-by-dale-carnegie-i159411654.html,5 sold,1,5
Meditations by Marcus Aurelius,Rs. 320,https://www.daraz.com.np/products/meditations-by-marcus-aurelius-i129063791.html,49 sold,8,5
How to Win Friends and Influence People By Dale Carnegie,Rs. 130,https://www.daraz.com.np/products/how-to-win-friends-and-influence-people-by-dale-carnegie-i164206631.html,9 sold,2,4
Super Combo : Atomic Habits + Intelligent Investor,Rs. 450,https://www.daraz.com.np/products/super-combo-atomic-habits-intelligent-investor-i216912318.html,6 sold,2,5
It Starts With Us By Colleen Hoover,Rs. 285,https://www.daraz.com.np/products/it-starts-with-us-by-colleen-hoover-i159709698.html,7 sold,3,3
The Richest Man In Babylon By George S. Clason (Nepali Translation),Rs. 225,https://www.daraz.com.np/products/the-richest-man-in-babylon-by-george-s-clason-nepali-translation-i129234269.html,8 sold,3,5
