title,price,link,unit_sold,rating_count,stars
The Power Of Positive Thinking By Norman Vincent Peale,Rs. 159,https://www.daraz.com.np/products/the-power-of-positive-thinking-by-norman-vincent-peale-i115698690.html,526 sold,111,4
As a Man Thinketh (Nepali Translation of As a Man Thinketh by James Allen) Jasto Soch Testai Jeevan,Rs. 159,https://www.daraz.com.np/products/as-a-man-thinketh-nepali-translation-of-as-a-man-thinketh-by-james-allen-jasto-soch-testai-jeevan-i128222317.html,214 sold,31,4
"The Art of Being Alone: Loneliness Was My Cage, Solitude Is My Home By Renuka Gavrani",Rs. 165,https://www.daraz.com.np/products/the-art-of-being-alone-loneliness-was-my-cage-solitude-is-my-home-by-renuka-gavrani-i167670559.html,42 sold,4,4
Tapai Ko Avachetan Mann Ko Shakti - Joseph Murphy (The Power Of Your Subconscious Mind Nepali Translation),Rs. 300,https://www.daraz.com.np/products/tapai-ko-avachetan-mann-ko-shakti-joseph-murphy-the-power-of-your-subconscious-mind-nepali-translation-i103674684.html,421 sold,62,4
"The Art Of Being Alone : Loneliness Was My Cage, Solitude Is My Home by Renuka Gavrani",Rs. 199,https://www.daraz.com.np/products/the-art-of-being-alone-i179443149.html,40 sold,10,5
As a Man Thinketh (Nepali Translation of As a Man Thinketh by James Allen) Jasto Soch Testai Jeevan,Rs. 159,https://www.daraz.com.np/products/as-a-man-thinketh-nepali-translation-of-as-a-man-thinketh-by-james-allen-jasto-soch-testai-jeevan-i128222317.html,214 sold,31,4
Muna Madan By Laxmi Pdr Devkota,Rs. 75,https://www.daraz.com.np/products/muna-madan-by-laxmi-pdr-devkota-i100279709.html,203 sold,45,4
It Start With Us + It End With Us (Bestseller Combo),Rs. 513,https://www.daraz.com.np/products/it-start-with-us-it-end-with-us-bestseller-combo-i127875734.html,1.2K sold,285,4
"Dhani Buba Garib Buba - Robert T. Kiyosaki (Nepali Translation Of Rich Dad, Poor Dad)",Rs. 230,https://www.daraz.com.np/products/dhani-buba-garib-buba-nepali-translation-of-rich-dad-poor-dad-i103345306.html,850 sold,137,4
The Power of Your Subconscious Mind By Joseph Murphy,Rs. 129,https://www.daraz.com.np/products/the-power-of-your-subconscious-mind-by-joseph-murphy-i153574694.html,52 sold,6,5
"The Art of Being Alone: Loneliness Was My Cage, Solitude Is My Home By Renuka Gavrani",Rs. 165,https://www.daraz.com.np/products/the-art-of-being-alone-loneliness-was-my-cage-solitude-is-my-home-by-renuka-gavrani-i167670559.html,42 sold,4,4
How To Win Friends And Influence People By Dale Carnegie,Rs. 145,https://www.daraz.com.np/products/how-to-win-friends-and-influence-people-by-dale-carnegie-i115118139.html,578 sold,153,4
Rich Dad Poor Dad (Nepali) By Robert T. Kiyosaki,Rs. 233,https://www.daraz.com.np/products/rich-dad-poor-dad-nepali-by-robert-t-kiyosaki-i108184407.html,100 sold,15,4
Ijoriya By Subin Bhattarai,Rs. 747,https://www.daraz.com.np/products/ijoriya-by-subin-bhattarai-i118982360.html,916 sold,206,4
Radha By Krishna Dharabasi,Rs. 350,https://www.daraz.com.np/products/radha-by-krishna-dharabasi-i100420336.html,320 sold,80,4
Jeevan Badalne Baigyanik Niyam - Robert Greene (48 Laws of Power(Nepali),Rs. 330,https://www.daraz.com.np/products/jeevan-badalne-baigyanik-niyam-robert-greene-48-laws-of-powernepali-i107778769.html,155 sold,32,4
"Rich Dad Poor Dad (English, Paperback, Kiyosaki Robert T.)",Rs. 249,https://www.daraz.com.np/products/rich-dad-poor-dad-english-paperback-kiyosaki-robert-t-i116595134.html,1.1K sold,313,4
The Art of Not Overthinking : Believing in Yourself and Building Your Dream Life By Shaurya Kapoor,Rs. 165,https://www.daraz.com.np/products/the-art-of-not-overthinking-believing-in-yourself-and-building-your-dream-life-by-shaurya-kapoor-i167663635.html,116 sold,14,4
The Alchemist By Paulo Coelho,Rs. 358,https://www.daraz.com.np/products/the-alchemist-by-paulo-coelho-i101694445.html,166 sold,36,4
Deep Work By Cal Newport,Rs. 314,https://www.daraz.com.np/products/deep-work-by-cal-newport-i115646039.html,423 sold,100,4
Atomic Habits By James Clear - Self Development Books | Atomic Habits English Edition | Self Help Books,Rs. 149,https://www.daraz.com.np/products/atomic-habits-by-james-clear-self-development-books-atomic-habits-english-edition-self-help-books-i153926480.html,28 sold,5,5
Phulchowki Books As A Man Thinketh (Nepali Version) By James Allen,Rs. 175,https://www.daraz.com.np/products/phulchowki-books-as-a-man-thinketh-nepali-version-by-james-allen-i129029725.html,92 sold,10,4
Byujhiyeko Saas Novel By Anusha Humagain,Rs. 375,https://www.daraz.com.np/products/byujhiyeko-saas-novel-by-anusha-humagain-i128472856.html,6 sold,1,4
Think and Grow Rich by Napoleon Hill,Rs. 159,https://www.daraz.com.np/products/think-and-grow-rich-by-napoleon-hill-i116689552.html,316 sold,77,4
Babylonko Sabbai Vhanda Dhani Maanish - George S. Clason (Nepali Translation of The Richest Man In Babylon),Rs. 215,https://www.daraz.com.np/products/babylonko-sabbai-vhanda-dhani-maanish-george-s-clason-nepali-translation-of-the-richest-man-in-babylon-i108752467.html,44 sold,7,4
The Art of Not Overthinking : Believing in Yourself and Building Your Dream Life By Shaurya Kapoor,Rs. 150,https://www.daraz.com.np/products/the-art-of-not-overthinking-believing-in-yourself-and-building-your-dream-life-by-shaurya-kapoor-i179067848.html,42 sold,6,5
The Art of Not Overthinking By Shaurya Kapoor : Believing in Yourself and Building Your Dream Life,Rs. 130,https://www.daraz.com.np/products/the-art-of-not-overthinking-by-shaurya-kapoor-believing-in-yourself-and-building-your-dream-life-i176903171.html,52 sold,6,4
It Starts With Us By Colleen Hoover,Rs. 267,https://www.daraz.com.np/products/it-starts-with-us-by-colleen-hoover-i120465928.html,804 sold,173,4
"Dopamine Detox: Biohacking Your Way To Better Focus, Greater Happiness, and Peak Performance",Rs. 190,https://www.daraz.com.np/products/dopamine-detox-biohacking-your-way-to-better-focus-greater-happiness-and-peak-performance-i159715945.html,19 sold,4,4
"Complete Solution For Common Entrance Exam (CEE)- 27th Revised & Updated Edition 2082 , Nirvana's | Preperation |","Rs. 2,849",https://www.daraz.com.np/products/complete-solution-for-common-entrance-exam-cee-27th-revised-updated-edition-2082-nirvanas-preperation-i110299430.html,153 sold,38,4
The Mountain Is You By Brianna Wiest,Rs. 280,https://www.daraz.com.np/products/the-mountain-is-you-by-brianna-wiest-i156727796.html,64 sold,8,4
The Lean Startup by Eric Ries,Rs. 379,https://www.daraz.com.np/products/the-lean-startup-by-eric-ries-i109830926.html,140 sold,17,4
"Too Good To Be True : A Smart, Funny Will-They-Won’t-They Romance By Mostlysane",Rs. 299,https://www.daraz.com.np/products/too-good-to-be-true-a-smart-funny-will-they-wont-they-romance-by-mostlysane-i187293282.html,64 sold,5,4
The Power Of Positive Thinking By Norman Vincent Peale,Rs. 152,https://www.daraz.com.np/products/the-power-of-positive-thinking-by-norman-vincent-peale-i153555994.html,27 sold,2,4
